number,status,fed_register
130300-4,Issued,
13844A-1,Issued,Noticed for 30 days
94669A-0,Issued,Noticed for 30 days
049502-7,In FO for Review,Noticed for 30 days
050044-6,No permit needed,N/A
95412A-0,No permit needed,Noticed for 30 days
034476-3,Issued,Noticed for 30 days
02200B-0,Issued,Noticed for 30 days
02206B-0,Issued,Noticed for 30 days
100626-9,In RO for in-processing,Noticed for 30 days
03501B-0,Denied,N/A
05089B-0,Withdrawn,Noticed for 30 days
237535-1,Issued,Noticed for 30 days
05601B-0,Issued,Noticed for 30 days
812344-5,Issued,Noticed for 30 days
136811-1,Issued,Noticed for 30 days
05526B-0,Issued,Noticed for 30 days
05565B-0,Issued,Noticed for 30 days
069280-4,Issued,Noticed for 30 days
002507-5,Issued,Noticed for 30 days
02344A-1,Issued,Noticed for 30 days
237549-1,Issued,Noticed for 30 days
12156B-0,Issued,Noticed for 30 days
12169B-0,Issued,Noticed for 30 days
145045-1,Issued,N/A
171493-1,Issued,Noticed for 30 days
106005-2,Issued,N/A
237548-1,Issued,Noticed for 30 days
18717B-0,Issued,Noticed for 30 days
18684B-0,Issued,N/A
027307-6,Issued,Noticed for 30 days
18825B-0,Issued,Noticed for 30 days
061069-3,Issued,Noticed for 30 days
81756A-1,Issued,Noticed for 30 days
48049B-0,Issued,Noticed for 30 days
121059-1,Issued,Noticed for 30 days
106708-2,Issued,N/A
14105A-1,Issued,Noticed for 30 days
054963-6,Issued,Noticed for 30 days
171545-2,Issued,Noticed for 30 days
24030B-0,Issued,Noticed for 30 days
24053B-0,Issued,Noticed for 30 days
041314-5,Issued,Noticed for 30 days
13879B-0,Issued,N/A
73096A-1,Issued,N/A
91373A-2,Issued,Noticed for 30 days
91366A-2,Issued,Noticed for 30 days
011542-9,Issued,Noticed for 30 days
051429-5,Issued,N/A
24343B-0,Issued,Noticed for 30 days
077258-2,Issued,N/A
171488-3,Issued,Noticed for 30 days
20020A-3,Withdrawn,Noticed for 30 days
28025A-2,Issued,N/A
25057B-0,Issued,Noticed for 30 days
37492B-0,Issued,Noticed for 30 days
102292-10,Issued,Noticed for 30 days
79580A-1,Issued,Noticed for 30 days
94704A-1,Issued,Noticed for 30 days
48579B-0,Issued,Noticed for 30 days
63633A-3,Issued,Noticed for 30 days
070800-3,Issued,Noticed for 30 days
37909B-0,Issued,N/A
37886B-0,Issued,Noticed for 30 days
017848-4,Issued,Noticed for 30 days
008187-1,Issued,Noticed for 30 days
819338-1,Issued,Noticed for 30 days
37991B-0,Issued,N/A
009638-10,Issued,Noticed for 30 days
070796-7,Issued,Noticed for 30 days
40600B-0,Withdrawn,N/A
37219B-0,Issued,Noticed for 30 days
022690-4,Issued,Noticed for 30 days
21809A-1,Issued,Noticed for 30 days
051552-6,Issued,Noticed for 30 days
26395B-0,Denied,N/A
37490B-0,Issued,Noticed for 30 days
212106-1,Issued,Noticed for 30 days
37498B-0,Issued,Noticed for 30 days
022468-4,Issued,Noticed for 30 days
077175-3,Issued,Noticed for 30 days
02344A-1,Issued,N/A
171516-3,Issued,Noticed for 30 days
37884B-0,Issued,N/A
37887B-0,Issued,Noticed for 30 days
35319B-0,Issued,Noticed for 30 days
225877-1,Abandoned,Noticed for 30 days
125620-3,Issued,Noticed for 30 days
207027-1,Issued,N/A
083085-2,Issued,Noticed for 30 days
14102A-1,Abandoned,Noticed for 30 days
37900B-0,Issued,Noticed for 30 days
63633A-3,Issued,Noticed for 30 days
13910A-2,Issued,Noticed for 30 days
20026A-2,Closed.  Issued as 237545-1,Noticed for 30 days
37951B-0,Abandoned,Noticed for 30 days
237545-1,Issued,Noticed for 30 days
38042B-0,No permit needed,N/A
37953B-0,Issued,N/A
37955B-0,Issued,N/A
37966B-0,Issued,N/A
142294-3,Issued,Noticed for 30 days
139474-7,Issued,Noticed for 30 days
102418-2,Issued,Noticed for 30 days
37967B-0,Abandoned,Noticed for 30 days
37954B-0,Withdrawn,needs to be drafted
46491A-1,Withdrawn,N/A
137403-1,Issued,Noticed for 30 days
38043B-0,Withdrawn,N/A
38906B-0,Issued,Noticed for 30 days
178643-2,Issued,Noticed for 30 days
092854-2,Issued,Noticed for 30 days
070800-3,Issued,N/A
37666B-0,Issued,Noticed for 30 days
206784-2,Issued,Noticed for 30 days
37663B-0,Issued,Noticed for 30 days
37524B-0,Issued,Noticed for 30 days
71613A-1,Withdrawn,Noticed for 30 days
807672-16,Issued,Noticed for 30 days
810274-11,Issued,Noticed for 30 days
37661B-0,Issued,Noticed for 30 days
35339B-0,Issued,N/A
37658B-0,Issued,N/A
37657B-0,Issued,N/A
119937-3,Issued,Noticed for 30 days
091705-3,Issued,Noticed for 30 days
97394A-2,Issued,Noticed for 30 days
38397A -1,Issued,Noticed for 30 days
25612A-1,Issued,Noticed for 30 days
129703-5,Issued,Noticed for 30 days
37652B-0,Abandoned,Noticed for 30 days
117405-3,In RO for Review,Noticed for 30 days
37659B-0,Issued,N/A
37530B-0,Abandoned,Noticed for 30 days
132772-1,Issued,Noticed for 30 days
084047-4,Issued,Noticed for 30 days
816862-7,Issued,Noticed for 30 days
64232B-0,Issued,Noticed for 30 days
38519A-1,Issued,N/A
43704A-1,Issued,Noticed for 30 days
087176-3,Issued,Noticed for 30 days
065756-3,In FO for Review,Noticed for 30 days
28597A-1,Ready for Review,Noticed for 30 days
38819B-0,Issued,N/A
39434B-0,Withdrawn,N/A
39433B-0,Abandoned,Noticed for 30 days
105674-2,No permit needed,Noticed for 30 days
40143B-0,Issued,N/A
40197B-0,Issued,N/A
089075-4,Issued,Noticed for 30 days
045109-4,Issued,Noticed for 30 days
40178B-0,Issued,Noticed for 30 days
061005-3,Ready for Review,Noticed for 30 days
40367B-0,Issued,N/A
056510-5,In FO for Review,Noticed for 30 days
41750B-0,Issued,N/A
41707B-0,Issued,N/A
41705B-0,No permit needed,Noticed for 30 days
084054-3,Awaiting Input from Applicant,Noticed for 30 days
070846-3,Awaiting Input from Applicant,Noticed for 30 days
171518-1,In FO for Review,Noticed for 30 days
108584-6,Issued,Noticed for 30 days
41910B-0,Issued,Noticed for 30 days
41966B-0,Issued,Noticed for 30 days
102324-2,Issued,Noticed for 30 days
100012-2,Issued,Noticed for 30 days
040423-4,In FO for Review,Noticed for 30 days
033469-5,Issued,Noticed for 30 days
066980-4,Issued,Noticed for 30 days
43261B-0,Ready for Review,Noticed for 30 days
43264B-0,Ready for Review,Noticed for 30 days
051553-5,Issued,N/A
44513B-0,Issued,N/A
44530B-0,Issued,N/A
049654-6,Issued,N/A
016270-9,Issued,Noticed for 30 days
